,Open,High,Low,Close,Volume,Forcast
2024-08-18,75.41,75.665,75.117,75.257,1038,74.35471
2024-08-19,75.267,75.725,73.447,73.679,38147,74.1594
2024-08-20,73.669,74.334,72.523,73.066,38971,73.81786
2024-08-21,73.056,74.09,71.416,71.752,38317,73.33887
2024-08-22,71.751,73.434,71.529,73.018,39082,73.12871
2024-08-23,73.008,74.95,72.746,74.833,35500,73.20461
2024-08-25,74.982,75.259,74.853,75.21,1813,73.38245
2024-08-26,75.22,77.322,75.075,76.896,43143,73.69885
2024-08-27,76.886,77.163,75.124,75.52,47193,73.775604
2024-08-28,75.521,75.66,73.577,74.15,59770,73.57815
2024-08-29,74.142,76.455,73.7,75.286,58291,73.70615
2024-08-30,75.295,76.137,73.025,73.31,63720,73.486176
2024-09-01,73.151,73.164,72.571,72.581,855,73.357025
2024-09-02,72.589,73.915,72.486,73.309,35159,73.15922
2024-09-03,73.312,73.798,69.731,69.866,71201,72.53479
2024-09-04,69.866,71.02,68.469,68.897,78542,71.76248
2024-09-05,68.9,70.356,68.417,68.967,64570,71.355286
2024-09-06,68.964,69.705,66.778,67.698,69222,70.73874
2024-09-08,67.613,67.875,67.546,67.838,1222,70.224
2024-09-09,67.835,68.398,66.831,68.211,69440,69.91005
2024-09-10,68.217,68.532,64.798,65.767,77109,69.02629
2024-09-11,65.764,67.348,65.138,66.727,79960,68.64715
2024-09-12,66.723,69.121,66.707,68.636,67681,68.967834
2024-09-13,68.644,69.531,67.75,68.481,56857,68.88794
2024-09-15,68.328,68.538,68.004,68.009,851,68.84069
2024-09-16,67.999,69.717,67.801,69.363,51014,69.079865
2024-09-17,69.362,70.733,68.589,69.956,47614,69.329475
2024-09-18,69.965,70.333,68.617,69.39,65315,69.4227
2024-09-19,69.38,71.529,69.168,71.009,39771,69.78999
2024-09-20,71.029,71.406,70.343,71.204,33327,70.06914
2024-09-22,71.195,71.275,70.795,70.933,972,70.22611
2024-09-23,70.934,71.691,69.391,70.504,49177,70.25743
2024-09-24,70.504,72.264,70.332,71.451,46866,70.52014
2024-09-25,71.461,71.6,69.145,69.458,63414,70.40059
2024-09-26,69.468,69.88,66.844,67.222,87980,69.69317
2024-09-27,67.223,68.504,66.942,68.48,68513,69.83418
2024-09-29,68.397,68.431,67.712,68.105,1872,69.61974
2024-09-30,68.115,69.147,67.42,68.157,72567,69.300026
2024-10-01,68.159,71.709,66.197,70.601,90468,69.96363
2024-10-02,70.603,72.252,69.687,70.644,64562,70.277596
2024-10-03,70.634,73.819,70.34,73.617,71425,70.65938
2024-10-04,73.609,75.2,73.218,74.122,68774,71.19723
2024-10-06,73.991,73.991,73.281,73.552,2692,71.430534
2024-10-07,73.542,78.01,73.412,76.818,64164,72.06031
2024-10-08,76.824,76.978,72.356,73.525,90569,72.0696
2024-10-09,73.535,74.044,71.231,72.928,86953,71.93213
2024-10-10,72.931,75.706,72.921,75.18,67234,72.30701
2024-10-11,75.168,75.505,74.053,74.98,60613,72.44891
2024-10-13,74.422,74.423,73.574,73.704,2921,72.48956
2024-10-14,73.71,74.3,70.943,71.217,67788,72.12037
2024-10-15,71.22,71.525,69.298,70.538,77697,71.57322
2024-10-16,70.542,70.772,69.198,70.21,62172,71.32231
2024-10-17,70.211,70.598,68.947,70.324,57520,71.06229
2024-10-18,70.329,70.716,68.199,68.871,59628,70.689705
2024-10-20,68.867,69.007,68.462,68.826,1312,70.45586
2024-10-21,68.826,70.384,68.544,69.989,35205,70.32991
2024-10-22,69.979,72.058,69.335,71.415,46705,70.474556
2024-10-23,71.405,71.681,70.1,71.16,41410,70.49768
2024-10-24,71.151,72.281,69.717,70.383,44952,70.46714
2024-10-25,70.373,71.857,69.912,71.597,42412,70.61337
2024-10-27,67.922,68.716,67.813,68.667,5322,69.74794
2024-10-28,68.667,68.782,66.834,67.839,56800,69.329185
2024-10-29,67.847,68.389,66.603,67.328,54031,69.063065
2024-10-30,67.321,69.017,67.179,68.795,52499,68.76839
2024-10-31,68.802,70.599,68.138,70.404,57749,69.261
2024-11-01,70.412,71.236,69.15,69.172,58102,69.57408
2024-11-03,70.514,70.751,70.056,70.329,1929,69.75278
2024-11-04,70.331,71.583,70.143,71.24,47197,69.99763
2024-11-05,71.247,72.411,71.071,71.807,43244,70.35544
2024-11-06,71.822,72.367,69.518,71.47,74853,70.41549
2024-11-07,71.465,72.574,70.434,71.95,56840,70.582634
2024-11-08,71.943,72.019,69.782,70.243,49672,70.59523
2024-11-10,70.074,70.224,69.894,70.044,702,70.477005
2024-11-11,70.048,70.357,67.823,68.08,50908,70.27641
2024-11-12,68.087,68.993,67.663,67.93,50239,69.910675
2024-11-13,67.932,68.715,66.817,67.881,56509,69.64454
2024-11-14,67.891,69.244,67.782,68.443,52048,69.637695
2024-11-15,68.439,68.522,66.716,66.884,55579,69.17535
2024-11-17,66.73,66.854,66.525,66.713,1134,68.73667
2024-11-18,66.718,69.351,66.636,68.925,48568,69.0112
2024-11-19,68.921,69.729,68.469,69.31,38854,69.16791
2024-11-20,69.3,69.935,68.624,69.011,28622,69.274506
2024-11-21,69.011,70.345,68.84,70.088,33066,69.59421
2024-11-22,70.078,71.443,69.241,71.112,39295,69.91041
2024-11-24,71.273,71.319,70.967,71.186,496,70.222946
2024-11-25,71.196,71.325,68.546,68.546,51425,69.92941
2024-11-26,68.547,70.191,67.965,68.759,48434,69.81609
2024-11-27,68.768,69.257,68.061,68.665,47607,69.79483
2024-11-28,68.668,69.168,68.152,68.726,24905,69.55713
2024-11-29,68.728,69.55,67.779,68.027,45267,69.51682
2024-12-01,67.897,68.242,67.827,68.152,1313,69.63542
2024-12-02,68.154,68.966,67.574,67.983,47958,69.30866
2024-12-03,67.986,70.023,67.78,69.827,42027,69.521866
2024-12-04,69.829,70.294,68.306,68.559,47476,69.61728
2024-12-05,68.569,68.931,67.796,68.229,48515,69.2852
2024-12-06,68.226,68.279,66.822,67.006,42959,69.11409
2024-12-08,66.99,67.169,66.916,67.153,686,68.882324
2024-12-09,67.163,68.667,66.996,67.943,39336,68.80378
2024-12-10,67.947,68.801,67.52,68.245,39083,68.91141
2024-12-11,68.248,70.171,68.241,70.005,42487,69.27991
2024-12-12,70.002,70.358,68.811,69.645,45100,69.49997
2024-12-13,69.635,71.006,69.586,70.693,37749,69.8408
2024-12-15,70.682,70.786,70.601,70.715,678,70.15787
2024-12-16,70.705,70.767,70.0,70.212,39019,70.10042
2024-12-17,70.222,70.543,68.817,69.749,38266,70.11925
2024-12-18,69.754,70.786,69.373,69.42,23046,70.20436
2024-12-19,69.42,70.551,69.079,69.178,29483,70.11006
2024-12-20,69.177,69.805,68.414,69.514,26841,70.025696
2024-12-22,69.358,69.577,69.348,69.526,524,70.076805
2024-12-23,69.527,69.861,68.525,69.384,28294,69.93735
2024-12-24,69.393,70.326,69.284,70.068,24147,70.04743
2024-12-25,70.12,70.179,70.077,70.108,321,70.17744
2024-12-26,70.109,70.616,69.228,69.567,24843,70.08327
2024-12-27,69.554,70.618,69.326,70.112,32196,70.221664
2024-12-29,70.102,70.358,69.972,70.298,660,70.320755
2024-12-30,70.29,71.359,70.049,71.029,33653,70.36954
2024-12-31,71.033,71.805,70.687,71.664,29801,70.55063
2025-01-01,71.581,71.844,71.581,71.836,460,71.07317
2025-01-02,71.839,73.445,71.569,72.829,44048,71.22597
2025-01-03,72.831,73.924,72.412,73.684,35373,71.52134
2025-01-05,73.634,73.835,73.544,73.729,678,71.760956
2025-01-06,73.732,74.516,72.807,72.944,43843,71.98898
2025-01-07,72.942,74.309,72.742,74.209,41701,72.22702
2025-01-08,74.212,74.752,72.734,72.819,47425,72.37889
2025-01-09,72.81,73.825,72.411,73.767,34583,72.43422
2025-01-10,73.77,77.156,73.545,75.972,67618,72.97513
2025-01-12,76.018,77.594,75.992,77.282,3548,73.502464
2025-01-13,77.279,77.986,76.515,77.595,74799,74.05593
2025-01-14,77.613,77.809,76.441,76.985,66570,74.403854
2025-01-15,76.979,79.577,76.332,79.246,66028,74.94324
2025-01-16,79.242,79.393,77.043,78.064,67081,75.23045
2025-01-17,78.07,78.617,77.187,77.403,48029,75.427704
2025-01-19,77.416,77.598,77.385,77.595,244,75.55283
2025-01-20,77.593,77.78,75.768,76.303,44274,75.540405
2025-01-21,76.298,77.081,74.977,75.633,56985,75.42481
2025-01-22,75.636,76.328,75.042,75.086,48611,75.25413
2025-01-23,75.09,75.861,74.038,74.122,48455,74.949
2025-01-24,74.12,75.051,73.881,74.34,46544,74.72002
2025-01-26,74.307,74.422,73.947,73.992,950,74.45343
2025-01-27,73.994,74.952,72.244,72.93,47049,74.14934
2025-01-28,72.93,74.081,72.743,73.604,42581,73.95084
2025-01-29,73.595,73.806,72.135,72.685,41294,73.570015
2025-01-30,72.688,73.575,71.809,72.932,41531,73.335976
2025-01-31,72.932,73.551,71.736,73.521,50889,73.104706
2025-02-02,74.235,74.674,73.423,73.594,4471,73.34886
2025-02-03,73.601,74.333,71.786,72.158,71009,73.01621
2025-02-04,72.156,73.081,70.455,72.373,60570,72.74112
2025-02-05,72.375,72.737,70.805,71.044,45647,72.334694
2025-02-06,71.047,71.651,70.289,70.384,45275,71.92455
2025-02-07,70.381,71.22,70.358,70.873,39799,71.65272
2025-02-09,70.76,70.994,70.667,70.97,826,71.434784
2025-02-10,70.977,72.295,70.97,72.193,35028,71.460526
2025-02-11,72.186,73.402,72.078,72.969,37454,71.610466
2025-02-12,72.965,73.039,71.053,71.094,45020,71.447044
2025-02-13,71.09,71.444,70.158,71.302,42466,71.304634
2025-02-14,71.292,71.894,70.488,70.522,39119,71.20434
2025-02-16,70.656,70.682,70.125,70.286,1068,71.02093
2025-02-17,70.28,71.388,70.256,71.222,29958,71.05632
2025-02-18,71.213,71.962,70.884,71.711,34155,71.13988
2025-02-19,71.711,72.892,71.681,72.1,18665,71.30489
2025-02-20,72.09,73.114,71.718,72.663,20507,71.456154
2025-02-21,72.673,72.722,70.148,70.208,23720,71.29805
2025-02-23,70.112,70.425,70.037,70.336,1070,71.170265
2025-02-24,70.345,70.92,69.975,70.781,32247,71.14627
2025-02-25,70.772,71.182,68.618,69.028,35865,70.91933
2025-02-26,69.029,69.212,68.298,68.719,39109,70.573265
2025-02-27,68.71,70.407,68.516,70.041,32529,70.65168
2025-02-28,70.053,70.126,69.039,69.834,36626,70.55186
2025-03-02,69.749,70.069,69.689,70.005,642,70.69367
2025-03-03,70.015,70.418,67.752,68.107,49274,70.473114
2025-03-04,68.115,68.269,66.577,67.692,55911,69.95969
2025-03-05,67.691,67.861,65.029,66.238,53696,69.41471
2025-03-06,66.23,66.772,65.404,66.141,54259,68.86086
2025-03-07,66.139,67.988,65.936,66.875,53123,68.79967
2025-03-09,66.937,66.947,66.317,66.36,1390,68.52881
2025-03-10,66.353,67.345,65.427,65.516,48000,68.02773
2025-03-11,65.52,66.885,65.076,66.404,48026,67.93445
2025-03-12,66.407,67.609,65.904,67.44,38281,68.1054
2025-03-13,67.433,67.699,66.147,66.572,46120,67.97108
2025-03-14,66.57,67.224,66.358,66.919,35004,67.98042
2025-03-16,67.34,67.545,67.245,67.419,1636,68.25818
2025-03-17,67.415,68.113,67.011,67.194,36303,68.16904
2025-03-18,67.199,68.492,66.45,66.66,37412,68.17767
2025-03-19,66.67,67.412,66.083,67.08,20650,68.16355
2025-03-20,67.07,68.619,66.605,68.527,21520,68.39292
2025-03-21,68.537,68.577,67.622,68.268,19550,68.81248
2025-03-23,68.314,68.383,68.106,68.355,610,68.998665
2025-03-24,68.354,69.253,67.892,69.081,26332,69.20165
2025-03-25,69.08,69.579,68.433,69.201,25760,69.570366
2025-03-26,69.2,70.094,68.971,69.617,26833,69.823494
2025-03-27,69.626,69.843,69.016,69.759,29051,70.00741
2025-03-28,69.761,69.955,68.739,68.889,31968,70.091736
2025-03-30,69.368,69.549,69.13,69.308,1514,70.20247
2025-03-31,69.315,71.611,68.683,71.183,39692,70.356766
2025-04-01,71.189,71.859,70.834,71.055,38371,70.76275
2025-04-02,71.057,72.041,69.067,69.165,45423,70.673706
2025-04-03,69.147,69.915,65.806,66.507,70395,70.050606
2025-04-04,66.509,66.659,60.281,62.151,101792,68.31643
2025-04-06,60.374,60.477,59.38,59.649,4806,66.39543
2025-04-07,59.642,63.653,58.799,61.121,133016,65.73687
