,Open,High,Low,Close,Volume,Forcast
2023-03-20,155.07000732421875,157.82000732421875,154.14999389648438,157.39999389648438,73641400,157.39254760742188
2023-03-21,157.32000732421875,159.39999389648438,156.5399932861328,159.27999877929688,73938300,159.31488037109375
2023-03-22,159.3000030517578,162.13999938964844,157.80999755859375,157.8300018310547,75701800,159.5750274658203
2023-03-23,158.8300018310547,161.5500030517578,157.67999267578125,158.92999267578125,67622100,159.60162353515625
2023-03-24,158.86000061035156,160.33999633789062,157.85000610351562,160.25,59196500,159.32261657714844
2023-03-27,159.94000244140625,160.77000427246094,157.8699951171875,158.27999877929688,52390300,159.1531219482422
2023-03-28,157.97000122070312,158.49000549316406,155.97999572753906,157.64999389648438,45992200,157.7381134033203
2023-03-29,159.3699951171875,161.0500030517578,159.35000610351562,160.77000427246094,51305700,162.04595947265625
2023-03-30,161.52999877929688,162.47000122070312,161.27000427246094,162.36000061035156,49501700,163.1918182373047
2023-03-31,162.44000244140625,165.0,161.91000366210938,164.89999389648438,68749800,165.0142364501953
2023-04-03,164.27000427246094,166.2899932861328,164.22000122070312,166.1699981689453,56976200,168.9362335205078
2023-04-04,166.60000610351562,166.83999633789062,165.11000061035156,165.6300048828125,46278300,166.9659881591797
2023-04-05,164.74000549316406,165.0500030517578,161.8000030517578,163.75999450683594,51511700,164.07366943359375
2023-04-06,162.42999267578125,164.9600067138672,162.0,164.66000366210938,45390100,165.14529418945312
2023-04-10,161.4199981689453,162.02999877929688,160.0800018310547,162.02999877929688,47716900,162.30628967285156
2023-04-11,162.35000610351562,162.36000061035156,160.50999450683594,160.8000030517578,47644200,163.35842895507812
2023-04-12,161.22000122070312,162.05999755859375,159.77999877929688,160.10000610351562,50133100,162.5556182861328
2023-04-13,161.6300048828125,165.8000030517578,161.4199981689453,165.55999755859375,68445600,167.91868591308594
2023-04-14,164.58999633789062,166.32000732421875,163.82000732421875,165.2100067138672,49386500,166.83291625976562
2023-04-17,165.08999633789062,165.38999938964844,164.02999877929688,165.22999572753906,41516200,166.7020263671875
2023-04-18,166.10000610351562,167.41000366210938,165.64999389648438,166.47000122070312,49923000,168.48953247070312
2023-04-19,165.8000030517578,168.16000366210938,165.5399932861328,167.6300048828125,47720200,168.49127197265625
2023-04-20,166.08999633789062,167.8699951171875,165.55999755859375,166.64999389648438,52456400,167.55133056640625
2023-04-21,165.0500030517578,166.4499969482422,164.49000549316406,165.02000427246094,58337300,165.45663452148438
2023-04-24,165.0,165.60000610351562,163.88999938964844,165.3300018310547,41949600,166.14578247070312
2023-04-25,165.19000244140625,166.30999755859375,163.72999572753906,163.77000427246094,48714100,165.81854248046875
2023-04-26,163.05999755859375,165.27999877929688,162.8000030517578,163.75999450683594,45498800,165.024658203125
2023-04-27,165.19000244140625,168.55999755859375,165.19000244140625,168.41000366210938,64902300,169.7110595703125
2023-04-28,168.49000549316406,169.85000610351562,167.8800048828125,169.67999267578125,55209200,169.97000122070312
2023-05-01,169.27999877929688,170.4499969482422,168.63999938964844,169.58999633789062,52472900,172.6102752685547
2023-05-02,170.08999633789062,170.35000610351562,167.5399932861328,168.5399932861328,48425700,169.16671752929688
2023-05-03,169.5,170.9199981689453,167.16000366210938,167.4499969482422,65136000,169.28436279296875
2023-05-04,164.88999938964844,167.0399932861328,164.30999755859375,165.7899932861328,81235400,165.31768798828125
2023-05-05,170.97999572753906,174.3000030517578,170.75999450683594,173.57000732421875,113316400,176.52740478515625
2023-05-08,172.47999572753906,173.85000610351562,172.11000061035156,173.5,55962800,173.54324340820312
2023-05-09,173.0500030517578,173.5399932861328,171.60000610351562,171.77000427246094,45326900,172.78744506835938
2023-05-10,173.02000427246094,174.02999877929688,171.89999389648438,173.55999755859375,53724500,173.2749481201172
2023-05-11,173.85000610351562,174.58999633789062,172.1699981689453,173.75,49514700,173.6997528076172
2023-05-12,173.6199951171875,174.05999755859375,171.0,172.57000732421875,45497800,172.12118530273438
2023-05-15,173.16000366210938,173.2100067138672,171.47000122070312,172.07000732421875,37266700,172.89634704589844
2023-05-16,171.99000549316406,173.13999938964844,171.8000030517578,172.07000732421875,42110300,173.0838165283203
2023-05-17,171.7100067138672,172.92999267578125,170.4199981689453,172.69000244140625,57951600,172.6218719482422
2023-05-18,173.0,175.24000549316406,172.5800018310547,175.0500030517578,65496700,175.84237670898438
2023-05-19,176.38999938964844,176.38999938964844,174.94000244140625,175.16000366210938,55772400,176.0126953125
2023-05-22,173.97999572753906,174.7100067138672,173.4499969482422,174.1999969482422,43570900,174.44732666015625
