Date,High,Low,Close,DayNumber,Month_Number,DayMonth,Year,FFT_Mag_High_150,FFT_Angl_High_150,FFT_Mag_Low_150,FFT_Angl_Low_150
2008-10-24,0.10000000149011612,0.10000000149011612,0.10000000149011612,4,1000,24,2008,0.1000000014901162,4.546495584147494e-16,0.10000000149011633,1.0434217219722512e-16
2008-10-27,0.054999999701976776,0.054999999701976776,0.054999999701976776,0,1000,27,2008,0.05499999970197685,1.0359394999613925e-15,0.054999999701976866,-2.242874809375785e-16
2008-10-28,0.054999999701976776,0.054999999701976776,0.054999999701976776,1,1000,28,2008,0.054999999701976776,-1.572553332904057e-17,0.054999999701976776,-9.330903190843444e-17
2008-11-03,0.05000000074505806,0.03999999910593033,0.03999999910593033,0,1100,3,2008,0.05000000074505806,0.0,0.03999999910593033,0.0
2008-11-04,0.03999999910593033,0.03999999910593033,0.03999999910593033,1,1100,4,2008,0.03999999910593021,1.3402524439413652e-15,0.03999999910593045,1.2423613327246174e-15
2008-11-14,0.03999999910593033,0.03999999910593033,0.03999999910593033,4,1100,14,2008,0.039999999105930384,0.0,0.03999999910593044,0.0
2008-11-18,0.03999999910593033,0.03999999910593033,0.03999999910593033,1,1100,18,2008,0.03999999910593033,4.163336435402158e-15,0.03999999910593033,1.3877788118007196e-15
2008-11-28,0.045000001788139336,0.03999999910593033,0.03999999910593033,4,1100,28,2008,0.045000001788139336,-1.6299891233744393e-15,0.03999999910593033,7.454942349209392e-16
2008-12-02,0.059999998658895486,0.045000001788139336,0.045000001788139336,1,1200,2,2008,0.05999999865889539,-1.3064438436090409e-15,0.045000001788139336,7.609118157603875e-16
2008-12-03,0.045000001788139336,0.045000001788139336,0.045000001788139336,2,1200,3,2008,0.04500000178813924,-6.892814823968216e-16,0.045000001788139336,-9.182679398304543e-16
2008-12-04,0.059999998658895486,0.059999998658895486,0.059999998658895486,3,1200,4,2008,0.059999998658895465,2.2274633370152303e-15,0.05999999865889551,2.1962945208192364e-15
2008-12-05,0.059999998658895486,0.059999998658895486,0.059999998658895486,4,1200,5,2008,0.05999999865889559,0.0,0.05999999865889545,0.0
2008-12-08,0.059999998658895486,0.059999998658895486,0.059999998658895486,0,1200,8,2008,0.0599999986588954,3.881466085414683e-16,0.059999998658895486,8.68023504848663e-16
2008-12-09,0.059999998658895486,0.03999999910593033,0.059999998658895486,1,1200,9,2008,0.0599999986588953,5.811378347368201e-16,0.03999999910593042,-2.890677401007031e-16
2008-12-10,0.045000001788139336,0.03999999910593033,0.03999999910593033,2,1200,10,2008,0.045000001788139336,-3.1637955377863067e-15,0.0399999991059306,-2.756207838308519e-15
2008-12-11,0.059999998658895486,0.054999999701976776,0.059999998658895486,3,1200,11,2008,0.059999998658895326,0.0,0.054999999701976686,0.0
2008-12-12,0.059999998658895486,0.05000000074505806,0.059999998658895486,4,1200,12,2008,0.059999998658895486,1.0912348624805178e-15,0.05000000074505806,7.843309558088015e-17
2008-12-15,0.054999999701976776,0.054999999701976776,0.054999999701976776,0,1200,15,2008,0.05499999970197661,0.0,0.054999999701976686,0.0
2008-12-18,0.059999998658895486,0.059999998658895486,0.059999998658895486,3,1200,18,2008,0.059999998658895486,1.3920431953523688e-15,0.059999998658895326,2.1664520291209395e-15
2008-12-19,0.05000000074505806,0.03999999910593033,0.045000001788139336,4,1200,19,2008,0.0500000007450581,2.774619935116195e-15,0.03999999910593035,-1.2413458074685626e-15
2008-12-22,0.03999999910593033,0.03999999910593033,0.03999999910593033,0,1200,22,2008,0.039999999105930405,1.3911269069670605e-15,0.039999999105930564,7.376383843350571e-16
2008-12-23,0.03999999910593033,0.03999999910593033,0.03999999910593033,1,1200,23,2008,0.039999999105930405,0.0,0.03999999910593048,0.0
2008-12-24,0.045000001788139336,0.045000001788139336,0.045000001788139336,2,1200,24,2008,0.045000001788139316,-2.0714204138381558e-15,0.045000001788139316,1.5419763618178604e-16
2009-01-07,0.045000001788139336,0.045000001788139336,0.045000001788139336,2,100,7,2009,0.04500000178813927,-1.7917087158757274e-15,0.04500000178813927,-4.118159653231175e-15
2009-01-16,0.059999998658895486,0.059999998658895486,0.059999998658895486,4,100,16,2009,0.05999999865889547,2.7208025182212365e-15,0.05999999865889555,1.0596957818350131e-15
2009-01-22,0.059999998658895486,0.054999999701976776,0.054999999701976776,3,100,22,2009,0.05999999865889556,-3.7427022822297374e-16,0.05499999970197685,-1.649829332451437e-15
2009-01-23,0.059999998658895486,0.059999998658895486,0.059999998658895486,4,100,23,2009,0.059999998658895486,5.343349227866228e-16,0.059999998658895624,9.981785203790783e-16
2009-01-28,0.05000000074505806,0.05000000074505806,0.05000000074505806,2,100,28,2009,0.050000000745058185,0.0,0.050000000745057865,0.0
2009-01-29,0.05000000074505806,0.05000000074505806,0.05000000074505806,3,100,29,2009,0.05000000074505802,-1.672266591910287e-15,0.05000000074505808,-2.781896312653431e-15
2009-01-30,0.05000000074505806,0.05000000074505806,0.05000000074505806,4,100,30,2009,0.0500000007450578,-2.208185491372649e-15,0.050000000745058185,-3.0596108470195086e-15
2009-02-02,0.15000000596046448,0.10000000149011612,0.10000000149011612,0,200,2,2009,0.1500000059604644,5.893238565801961e-16,0.10000000149011604,4.680115779407231e-16
2009-02-03,0.10999999940395357,0.10999999940395357,0.10999999940395357,1,200,3,2009,0.10999999940395357,-5.804508552738652e-16,0.10999999940395357,-4.193169761242869e-16
2009-02-04,0.15000000596046448,0.059999998658895486,0.059999998658895486,2,200,4,2009,0.15000000596046453,1.6465664903719303e-16,0.05999999865889556,5.934267159227289e-17
2009-02-05,0.06499999761581421,0.06499999761581421,0.06499999761581421,3,200,5,2009,0.06499999761581403,0.0,0.06499999761581397,0.0
2009-02-06,0.14000000059604645,0.14000000059604645,0.14000000059604645,4,200,6,2009,0.14000000059604656,4.1243095830456565e-16,0.14000000059604656,-4.248942551041848e-16
2009-02-09,0.13500000536441806,0.054999999701976776,0.054999999701976776,0,200,9,2009,0.13500000536441809,0.0,0.05499999970197701,0.0
2009-02-18,0.10000000149011612,0.10000000149011612,0.10000000149011612,2,200,18,2009,0.10000000149011624,-1.3084789528342496e-16,0.10000000149011587,-2.721592784885588e-17
2009-02-20,0.07000000029802322,0.06499999761581421,0.06499999761581421,4,200,20,2009,0.07000000029802317,-1.179801750494768e-15,0.06499999761581418,-1.4530841424892038e-15
2009-02-23,0.05000000074505806,0.05000000074505806,0.05000000074505806,0,200,23,2009,0.05000000074505805,-5.551115040407722e-16,0.05000000074505802,0.0
2009-02-25,0.10000000149011612,0.059999998658895486,0.10000000149011612,2,200,25,2009,0.10000000149011624,3.1085419801813547e-16,0.0599999986588956,1.4507681002598232e-15
2009-02-26,0.06499999761581421,0.06499999761581421,0.06499999761581421,3,200,26,2009,0.06499999761581421,3.0924820280200127e-16,0.06499999761581432,-1.2907851735309244e-15
2009-02-27,0.10999999940395357,0.10999999940395357,0.10999999940395357,4,200,27,2009,0.10999999940395364,0.0,0.10999999940395334,0.0
2009-03-02,0.10000000149011612,0.10000000149011612,0.10000000149011612,0,300,2,2009,0.100000001490116,-5.794335383670237e-16,0.10000000149011593,2.6495621039173976e-16
2009-03-18,0.054999999701976776,0.054999999701976776,0.054999999701976776,2,300,18,2009,0.054999999701976776,-4.770696614651582e-16,0.05499999970197688,1.7748775236415355e-16
2009-03-19,0.054999999701976776,0.05000000074505806,0.05000000074505806,3,300,19,2009,0.05499999970197695,-1.0774421765689207e-15,0.05000000074505812,1.6141441380268854e-15
2009-03-24,0.05000000074505806,0.05000000074505806,0.05000000074505806,1,300,24,2009,0.050000000745058164,0.0,0.050000000745058115,0.0
2009-03-27,0.05000000074505806,0.05000000074505806,0.05000000074505806,4,300,27,2009,0.05000000074505808,2.226712422533459e-15,0.050000000745058025,-1.840417812608101e-15
2009-03-30,0.05000000074505806,0.05000000074505806,0.05000000074505806,0,300,30,2009,0.0500000007450583,0.0,0.0500000007450583,0.0
2009-04-02,0.10000000149011612,0.07000000029802322,0.10000000149011612,3,400,2,2009,0.10000000149011623,-1.0296045353184397e-15,0.07000000029802322,-2.1632489955911399e-16
