Date,High,Low,Close,DayNumber
2001-01-02,0.8040000200271606,0.7799999713897705,0.7950000166893005,1
2001-01-03,0.8119999766349792,0.7919999957084656,0.8100000023841858,2
2001-01-04,0.8299999833106995,0.8130000233650208,0.8185999989509583,3
2001-01-05,0.8379999995231628,0.8140000104904175,0.8205000162124634,4
2001-01-08,0.8529999852180481,0.8249999880790709,0.8349999785423279,0
2001-01-09,0.8370000123977661,0.8190000057220459,0.8289999961853027,1
2001-01-10,0.8949999809265137,0.8220000267028809,0.8849999904632568,2
2001-01-11,0.8924999833106995,0.871999979019165,0.8884999752044678,3
2001-01-12,0.9049999713897704,0.8799999952316284,0.9007999897003174,4
2001-01-16,0.9014999866485596,0.8730000257492065,0.8790000081062317,1
2001-01-17,0.875,0.8420000076293945,0.8579000234603882,2
2001-01-18,0.8619999885559082,0.8420000076293945,0.8579999804496765,3
2001-01-19,0.8899999856948853,0.8500000238418579,0.8849999904632568,4
2001-01-22,0.8899999856948853,0.8650000095367432,0.8759999871253967,0
2001-01-23,0.8799999952316284,0.8619999885559082,0.8759999871253967,1
2001-01-24,0.8799999952316284,0.8560000061988831,0.8740000128746033,2
2001-01-25,0.8830000162124634,0.859000027179718,0.8790000081062317,3
2001-01-26,0.8899999856948853,0.875,0.8849999904632568,4
2001-01-29,0.8949999809265137,0.8700000047683716,0.8769999742507935,0
2001-01-30,0.8849999904632568,0.8610000014305115,0.8799999952316284,1
2001-01-31,0.8679999709129333,0.8399999737739563,0.8600000143051147,2
2001-02-01,0.8539999723434448,0.8190000057220459,0.8500999808311462,3
2001-02-02,0.8989999890327454,0.847000002861023,0.890999972820282,4
2001-02-05,0.8960000276565552,0.878000020980835,0.8858000040054321,0
2001-02-06,0.8985000252723694,0.8784999847412109,0.8870000243186951,1
2001-02-07,0.9250000119209292,0.8809999823570251,0.9225000143051147,2
2001-02-08,0.9380000233650208,0.9179999828338624,0.9290000200271606,3
2001-02-09,0.9210000038146972,0.8989999890327454,0.901199996471405,4
2001-02-12,0.8980000019073486,0.8840000033378601,0.8920000195503235,0
2001-02-13,0.8889999985694885,0.8705000281333923,0.8870000243186951,1
2001-02-14,0.8930000066757202,0.8744999766349792,0.8809999823570251,2
2001-02-15,0.8679999709129333,0.8429999947547913,0.8539999723434448,3
2001-02-16,0.8669999837875366,0.8629999756813049,0.8644999861717224,4
2001-02-20,0.871999979019165,0.843999981880188,0.8489999771118164,1
2001-02-21,0.8489999771118164,0.8270000219345093,0.8324999809265137,2
2001-02-22,0.8379999995231628,0.8159999847412109,0.8270000219345093,3
2001-02-23,0.8500000238418579,0.8125,0.843999981880188,4
2001-02-26,0.8529999852180481,0.8320000171661377,0.8379999995231628,0
2001-02-27,0.8500000238418579,0.8274999856948853,0.8385000228881836,1
2001-02-28,0.8389999866485596,0.7699999809265137,0.7889999747276306,2
2001-03-01,0.8725000023841858,0.8525000214576721,0.8684999942779541,3
2001-03-02,0.8840000033378601,0.8659999966621399,0.8725000023841858,4
2001-03-05,0.8924999833106995,0.878000020980835,0.8816999793052673,0
2001-03-06,0.8974999785423279,0.8709999918937683,0.8949999809265137,1
2001-03-07,0.9190000295639038,0.8930000066757202,0.9169999957084656,2
2001-03-08,0.9210000038146972,0.9020000100135804,0.9049999713897704,3
2001-03-09,0.9089999794960022,0.8820000290870667,0.8878999948501587,4
2001-03-12,0.8945000171661377,0.8790000081062317,0.8939999938011169,0
