,Open,High,Low,Close,Volume,Forcast
2024-08-07,,,,,,72.38593
2024-08-08,,,,,,72.57592
2024-08-09,,,,,,73.07841
2024-08-11,,,,,,73.5596
2024-08-12,,,,,,74.24658
2024-08-13,,,,,,75.28255
2024-08-14,,,,,,75.42956
2024-08-15,76.222,77.541,75.897,76.89,46232.0,75.54108
2024-08-16,76.894,77.055,74.627,75.564,47216.0,74.96454
2024-08-18,75.41,75.665,75.117,75.257,1038.0,74.9975
2024-08-19,75.267,75.725,73.447,73.679,38147.0,74.904175
2024-08-20,73.669,74.334,72.523,73.066,38971.0,74.55422
2024-08-21,73.056,74.09,71.416,71.752,38317.0,73.197235
2024-08-22,71.751,73.434,71.529,73.018,39082.0,72.50511
2024-08-23,73.008,74.95,72.746,74.833,35500.0,72.049194
2024-08-25,74.982,75.259,74.853,75.21,1813.0,72.5801
2024-08-26,75.22,77.322,75.075,76.896,43143.0,73.465515
2024-08-27,76.886,77.163,75.124,75.52,47193.0,74.07659
2024-08-28,75.521,75.66,73.577,74.15,59770.0,73.915825
2024-08-29,74.142,76.455,73.7,75.286,58291.0,73.3516
2024-08-30,75.295,76.137,73.025,73.31,63720.0,72.470276
2024-09-01,73.151,73.164,72.571,72.581,855.0,72.26821
2024-09-02,72.589,73.915,72.486,73.309,35159.0,73.00705
2024-09-03,73.312,73.798,69.731,69.866,71201.0,
2024-09-04,69.866,71.02,68.469,68.897,78542.0,71.85038
2024-09-05,68.9,70.356,68.417,68.967,64570.0,70.86521
2024-09-06,68.964,69.705,66.778,67.698,69222.0,69.09618
2024-09-08,67.613,67.875,67.546,67.838,1222.0,68.71339
2024-09-09,67.835,68.398,66.831,68.211,69440.0,68.90946
2024-09-10,68.217,68.532,64.798,65.767,77109.0,
2024-09-11,65.764,67.348,65.138,66.727,79960.0,68.12045
2024-09-12,66.723,69.121,66.707,68.636,67681.0,67.437325
2024-09-13,68.644,69.531,67.75,68.481,56857.0,67.29308
2024-09-15,68.328,68.538,68.004,68.009,851.0,67.44404
2024-09-16,67.999,69.717,67.801,69.363,51014.0,68.09748
2024-09-17,69.362,70.733,68.589,69.956,47614.0,68.46938
2024-09-18,69.965,70.333,68.617,69.39,65315.0,68.708
2024-09-19,69.38,71.529,69.168,71.009,39771.0,68.63559
2024-09-20,71.029,71.406,70.343,71.204,33327.0,69.23084
2024-09-22,71.195,71.275,70.795,70.933,972.0,69.68583
2024-09-23,70.934,71.691,69.391,70.504,49177.0,70.13124
2024-09-24,70.504,72.264,70.332,71.451,46866.0,70.58319
2024-09-25,71.461,71.6,69.145,69.458,63414.0,70.13858
2024-09-26,69.468,69.88,66.844,67.222,87980.0,68.807045
2024-09-27,67.223,68.504,66.942,68.48,68513.0,68.39327
2024-09-29,68.397,68.431,67.712,68.105,1872.0,68.155785
2024-09-30,68.115,69.147,67.42,68.157,72567.0,68.36953
2024-10-01,68.159,71.709,66.197,70.601,90468.0,
2024-10-02,70.603,72.252,69.687,70.644,64562.0,68.29364
2024-10-03,70.634,73.819,70.34,73.617,71425.0,68.21118
2024-10-04,73.609,75.2,73.218,74.122,68774.0,69.31395
2024-10-06,73.991,73.991,73.281,73.552,2692.0,70.34945
2024-10-07,73.542,78.01,73.412,76.818,64164.0,
2024-10-08,76.824,76.978,72.356,73.525,90569.0,
2024-10-09,73.535,74.044,71.231,72.928,86953.0,70.876884
2024-10-10,72.931,75.706,72.921,75.18,67234.0,71.48405
2024-10-11,75.168,75.505,74.053,74.98,60613.0,72.41388
2024-10-13,74.422,74.423,73.574,73.704,2921.0,72.83452
2024-10-14,73.71,74.3,70.943,71.217,67788.0,72.55996
2024-10-15,71.22,71.525,69.298,70.538,77697.0,72.29271
2024-10-16,70.542,70.772,69.198,70.21,62172.0,71.81881
2024-10-17,70.211,70.598,68.947,70.324,57520.0,71.202065
2024-10-18,70.329,70.716,68.199,68.871,59628.0,70.0362
2024-10-20,68.867,69.007,68.462,68.826,1312.0,69.71532
2024-10-21,68.826,70.384,68.544,69.989,35205.0,69.94252
2024-10-22,69.979,72.058,69.335,71.415,46705.0,69.79228
2024-10-23,71.405,71.681,70.1,71.16,41410.0,70.10373
2024-10-24,71.151,72.281,69.717,70.383,44952.0,69.6717
2024-10-25,70.373,71.857,69.912,71.597,42412.0,69.685295
2024-10-27,67.922,68.716,67.813,68.667,5322.0,69.3928
2024-10-28,68.667,68.782,66.834,67.839,56800.0,69.26336
2024-10-29,67.847,68.389,66.603,67.328,54031.0,68.881256
2024-10-30,67.321,69.017,67.179,68.795,52499.0,68.475075
2024-10-31,68.802,70.599,68.138,70.404,57749.0,68.09561
2024-11-01,70.412,71.236,69.15,69.172,58102.0,67.87857
2024-11-03,70.514,70.751,70.056,70.329,1929.0,68.240395
2024-11-04,70.331,71.583,70.143,71.24,47197.0,69.513664
2024-11-05,71.247,72.411,71.071,71.807,43244.0,70.39153
2024-11-06,71.822,72.367,69.518,71.47,74853.0,69.97946
2024-11-07,71.465,72.574,70.434,71.95,56840.0,69.9642
2024-11-08,71.943,72.019,69.782,70.243,49672.0,69.56912
2024-11-10,70.074,70.224,69.894,70.044,702.0,69.6428
2024-11-11,70.048,70.357,67.823,68.08,50908.0,69.43888
2024-11-12,68.087,68.993,67.663,67.93,50239.0,69.37244
2024-11-13,67.932,68.715,66.817,67.881,56509.0,68.59977
2024-11-14,67.891,69.244,67.782,68.443,52048.0,68.179924
2024-11-15,68.439,68.522,66.716,66.884,55579.0,67.41716
2024-11-17,66.73,66.854,66.525,66.713,1134.0,67.10946
2024-11-18,66.718,69.351,66.636,68.925,48568.0,66.99989
2024-11-19,68.921,69.729,68.469,69.31,38854.0,67.64057
2024-11-20,69.3,69.935,68.624,69.011,28622.0,67.90501
2024-11-21,69.011,70.345,68.84,70.088,33066.0,68.04455
2024-11-22,70.078,71.443,69.241,71.112,39295.0,67.962715
2024-11-24,71.273,71.319,70.967,71.186,496.0,68.61483
2024-11-25,71.196,71.325,68.546,68.546,51425.0,68.64268
2024-11-26,68.547,70.191,67.965,68.759,48434.0,68.589806
2024-11-27,68.768,69.257,68.061,68.665,47607.0,68.60582
2024-11-28,68.668,69.168,68.152,68.726,24905.0,68.51017
2024-11-29,68.728,69.55,67.779,68.027,45267.0,67.97676
2024-12-01,67.897,68.242,67.827,68.152,1313.0,67.66887
2024-12-02,68.154,68.966,67.574,67.983,47958.0,68.26135
2024-12-03,67.986,70.023,67.78,69.827,42027.0,68.23675
2024-12-04,69.829,70.294,68.306,68.559,47476.0,68.06821
2024-12-05,68.569,68.931,67.796,68.229,48515.0,67.99608
2024-12-06,68.226,68.279,66.822,67.006,42959.0,67.480446
2024-12-08,66.99,67.169,66.916,67.153,686.0,67.22266
2024-12-09,67.163,68.667,66.996,67.943,39336.0,67.584755
2024-12-10,67.947,68.801,67.52,68.245,39083.0,67.81689
2024-12-11,68.248,70.171,68.241,70.005,42487.0,67.70048
2024-12-12,70.002,70.358,68.811,69.645,45100.0,67.75889
2024-12-13,69.635,71.006,69.586,70.693,37749.0,67.95971
2024-12-15,70.682,70.786,70.601,70.715,678.0,68.46028
2024-12-16,70.705,70.767,70.0,70.212,39019.0,69.60479
2024-12-17,70.222,70.543,68.817,69.749,38266.0,69.62313
2024-12-18,69.754,70.786,69.373,69.42,23046.0,69.47878
2024-12-19,69.42,70.551,69.079,69.178,29483.0,69.11606
2024-12-20,69.177,69.805,68.414,69.514,26841.0,68.74892
2024-12-22,69.358,69.577,69.348,69.526,524.0,68.721115
2024-12-23,69.527,69.861,68.525,69.384,28294.0,69.216896
2024-12-24,69.393,70.326,69.284,70.068,24147.0,69.54327
2024-12-25,70.12,70.179,70.077,70.108,321.0,69.91091
2024-12-26,70.109,70.616,69.228,69.567,24843.0,69.53759
2024-12-27,69.554,70.618,69.326,70.112,32196.0,69.29209
2024-12-29,70.102,70.358,69.972,70.298,660.0,69.30116
2024-12-30,70.29,71.359,70.049,71.029,33653.0,69.96157
2024-12-31,71.033,71.805,70.687,71.664,29801.0,70.451324
2025-01-01,71.581,71.844,71.581,71.836,460.0,71.196655
2025-01-02,71.839,73.445,71.569,72.829,44048.0,71.09856
2025-01-03,72.831,73.924,72.412,73.684,35373.0,71.20513
2025-01-05,73.634,73.835,73.544,73.729,678.0,71.45794
2025-01-06,73.732,74.516,72.807,72.944,43843.0,72.18212
2025-01-07,72.942,74.309,72.742,74.209,41701.0,72.61184
2025-01-08,74.212,74.752,72.734,72.819,47425.0,72.419716
2025-01-09,72.81,73.825,72.411,73.767,34583.0,72.300385
2025-01-10,73.77,77.156,73.545,75.972,67618.0,71.47258
2025-01-12,76.018,77.594,75.992,77.282,3548.0,72.13736
2025-01-13,77.279,77.986,76.515,77.595,74799.0,73.73342
2025-01-14,77.613,77.809,76.441,76.985,66570.0,74.79129
2025-01-15,76.979,79.577,76.332,79.246,66028.0,74.829956
2025-01-16,79.242,79.393,77.043,78.064,67081.0,75.27685
2025-01-17,78.07,78.617,77.187,77.403,48029.0,75.7446
2025-01-19,77.416,77.598,77.385,77.595,244.0,76.188805
2025-01-20,77.593,77.78,75.768,76.303,44274.0,76.59484
2025-01-21,76.298,77.081,74.977,75.633,56985.0,76.49678
2025-01-22,75.636,76.328,75.042,75.086,48611.0,76.31351
2025-01-23,75.09,75.861,74.038,74.122,48455.0,75.56839
2025-01-24,74.12,75.051,73.881,74.34,46544.0,75.14359
2025-01-26,74.307,74.422,73.947,73.992,950.0,74.76363
2025-01-27,73.994,74.952,72.244,72.93,47049.0,74.167465
2025-01-28,72.93,74.081,72.743,73.604,42581.0,74.23154
2025-01-29,73.595,73.806,72.135,72.685,41294.0,73.63477
2025-01-30,72.688,73.575,71.809,72.932,41531.0,72.96583
2025-01-31,72.932,73.551,71.736,73.521,50889.0,72.34186
2025-02-02,74.235,74.674,73.423,73.594,4471.0,71.9183
2025-02-03,73.601,74.333,71.786,72.158,71009.0,72.01603
2025-02-04,72.156,73.081,70.455,72.373,60570.0,71.677185
2025-02-05,72.375,72.737,70.805,71.044,45647.0,71.32881
2025-02-06,71.047,71.651,70.289,70.384,45275.0,70.946945
2025-02-07,70.381,71.22,70.358,70.873,39799.0,70.73372
2025-02-09,70.76,70.994,70.667,70.97,826.0,70.513176
2025-02-10,70.977,72.295,70.97,72.193,35028.0,71.17594
2025-02-11,72.186,73.402,72.078,72.969,37454.0,71.66622
2025-02-12,72.965,73.039,71.053,71.094,45020.0,71.33851
2025-02-13,71.09,71.444,70.158,71.302,42466.0,71.04348
2025-02-14,71.292,71.894,70.488,70.522,39119.0,70.55717
2025-02-16,70.656,70.682,70.125,70.286,1068.0,70.17164
2025-02-17,70.28,71.388,70.256,71.222,29958.0,70.64299
2025-02-18,71.213,71.962,70.884,71.711,34155.0,70.91264
2025-02-19,71.711,72.892,71.681,72.1,18665.0,70.9777
2025-02-20,72.09,73.114,71.718,72.663,20507.0,70.93268
2025-02-21,72.673,72.722,70.148,70.208,23720.0,69.96867
2025-02-23,70.112,70.425,70.037,70.336,1070.0,69.81719
2025-02-24,70.345,70.92,69.975,70.781,32247.0,70.25051
2025-02-25,70.772,71.182,68.618,69.028,35865.0,69.42808
2025-02-26,69.029,69.212,68.298,68.719,39109.0,69.20047
2025-02-27,68.71,70.407,68.516,70.041,32529.0,68.54024
2025-02-28,70.053,70.126,69.039,69.834,36626.0,68.42082
2025-03-02,69.749,70.069,69.689,70.005,642.0,68.289635
2025-03-03,70.015,70.418,67.752,68.107,49274.0,68.17512
2025-03-04,68.115,68.269,66.577,67.692,55911.0,68.10585
2025-03-05,67.691,67.861,65.029,66.238,53696.0,66.84408
2025-03-06,66.23,66.772,65.404,66.141,54259.0,66.37152
2025-03-07,66.139,67.988,65.936,66.875,53123.0,65.683105
2025-03-09,66.937,66.947,66.317,66.36,1390.0,65.55306
2025-03-10,66.353,67.345,65.427,65.516,48000.0,65.75371
2025-03-11,65.52,66.885,65.076,66.404,48026.0,65.76117
2025-03-12,66.407,67.609,65.904,67.44,38281.0,65.7454
2025-03-13,67.433,67.699,66.147,66.572,46120.0,65.65279
2025-03-14,66.57,67.224,66.358,66.919,35004.0,65.783485
2025-03-16,67.34,67.545,67.245,67.419,1636.0,65.96081
2025-03-17,67.415,68.113,67.011,67.194,36303.0,66.71889
2025-03-18,67.199,68.492,66.45,66.66,37412.0,66.637474
2025-03-19,66.67,67.412,66.083,67.08,20650.0,66.61265
2025-03-20,67.07,68.619,66.605,68.527,21520.0,66.29203
2025-03-21,68.537,68.577,67.622,68.268,19550.0,66.552185
2025-03-23,68.314,68.383,68.106,68.355,610.0,66.82389
2025-03-24,68.354,69.253,67.892,69.081,26332.0,67.52607
2025-03-25,69.08,69.579,68.433,69.201,25760.0,68.07563
2025-03-26,69.2,70.094,68.971,69.617,26833.0,68.3585
2025-03-27,69.626,69.843,69.016,69.759,29051.0,68.578926
2025-03-28,69.761,69.955,68.739,68.889,31968.0,68.41904
2025-03-30,69.368,69.549,69.13,69.308,1514.0,68.44486
2025-03-31,69.315,71.611,68.683,71.183,39692.0,68.33502
2025-04-01,71.189,71.859,70.834,71.055,38371.0,69.198555
2025-04-02,71.057,72.041,69.067,69.165,45423.0,68.65546
2025-04-03,69.147,69.915,65.806,66.507,70395.0,
2025-04-04,66.509,66.659,60.281,62.151,101792.0,
