,Open,High,Low,Close,Volume,Forcast,Forcast_Direction,Real_Direction,Result,diff_right,diff_wrong
2023-03-20,66.62000274658203,67.69999694824219,64.12000274658203,67.63999938964844,76873.0,68.72415924072266,null,null,null,0.0,0.0
2023-03-21,67.62000274658203,69.59999847412111,66.76999664306639,69.33000183105469,409495.0,67.24872589111328,Down,Up,0,0.0,1.5699996948242188
2023-03-22,69.48000335693361,71.30999755859375,68.88999938964844,70.9000015258789,337639.0,66.97714996337889,Down,Down,1,0.94000244140625,0.0
2023-03-23,69.94999694824219,71.66999816894531,69.13999938964844,69.95999908447266,335241.0,67.77407836914061,Up,Down,0,0.0,0.6999969482421875
2023-03-24,69.51000213623047,70.37999725341797,66.81999969482422,69.26000213623047,380852.0,69.59634399414061,Up,Up,1,3.5499954223632812,0.0
2023-03-27,69.41999816894531,73.0999984741211,69.12999725341797,72.80999755859375,353598.0,68.20620727539061,Down,Up,0,0.0,0.3899993896484375
2023-03-28,72.86000061035156,73.93000030517578,72.19000244140625,73.19999694824219,328472.0,67.75572204589844,Down,Down,1,0.2299957275390625,0.0
2023-03-29,73.61000061035156,74.37000274658203,72.76000213623047,72.97000122070312,312669.0,68.29560852050781,Up,Up,1,1.4000015258789062,0.0
2023-03-30,72.9800033569336,74.62999725341797,72.61000061035156,74.37000274658203,269743.0,69.69300842285156,Up,Up,1,1.2999954223632812,0.0
2023-03-31,74.37000274658203,75.72000122070312,73.7699966430664,75.66999816894531,304361.0,72.41077423095703,Up,Up,1,4.75,0.0
2023-04-03,80.0999984741211,81.69000244140625,79.0,80.41999816894531,547126.0,71.98222351074219,Down,Up,0,0.0,0.29000091552734375
2023-04-04,80.44000244140625,81.80999755859375,79.61000061035156,80.70999908447266,343570.0,72.26545715332031,Up,Down,0,0.0,0.09999847412109375
2023-04-05,81.01000213623047,81.23999786376953,79.72000122070312,80.61000061035156,254974.0,72.60906219482422,Up,Up,1,0.089996337890625,0.0
2023-04-06,80.37000274658203,80.95999908447266,79.6500015258789,80.69999694824219,0.0,73.12226867675781,Up,Down,0,0.0,0.9599990844726562
2023-04-10,80.5,81.22000122070312,79.61000061035156,79.73999786376953,264906.0,72.62976837158203,Down,Up,0,0.0,1.7900009155273438
2023-04-11,79.87999725341797,81.58999633789062,79.37000274658203,81.52999877929688,309683.0,72.49607849121094,Down,Up,0,0.0,1.7300033569335938
2023-04-12,81.44000244140625,83.52999877929688,81.27999877929688,83.26000213623047,356133.0,72.97713470458984,Up,Down,0,0.0,1.0999984741210938
2023-04-13,83.22000122070312,83.44000244140625,82.11000061035156,82.16000366210938,261230.0,74.31321716308594,Up,Up,1,0.35999298095703125,0.0
2023-04-14,82.4000015258789,83.12000274658203,81.76000213623047,82.5199966430664,275129.0,76.66189575195312,Up,Down,0,0.0,1.6899948120117188
2023-04-17,82.4800033569336,82.70999908447266,80.47000122070312,80.83000183105469,217048.0,75.7226333618164,Down,Up,0,0.0,0.029998779296875
2023-04-18,81.0,81.4800033569336,79.87000274658203,80.86000061035156,96290.0,75.5432357788086,Down,Down,1,1.6999969482421875,0.0
2023-04-19,80.91999816894531,81.18000030517578,78.45999908447266,79.16000366210938,78310.0,75.59248352050781,Up,Down,0,0.0,1.8700027465820312
2023-04-20,78.87000274658203,78.88999938964844,76.97000122070312,77.29000091552734,361413.0,76.4312744140625,Up,Up,1,0.5800018310546875,0.0
2023-04-21,77.12999725341797,78.38999938964844,76.72000122070312,77.87000274658203,291114.0,78.23513793945312,Up,Up,1,0.8899993896484375,0.0
2023-04-24,77.97000122070312,79.18000030517578,76.72000122070312,78.76000213623047,306720.0,76.21482849121094,Down,Down,1,1.69000244140625,0.0
2023-04-25,78.73999786376953,79.06999969482422,76.5,77.06999969482422,361646.0,75.36113739013672,Down,Down,1,2.7699966430664062,0.0
2023-04-26,77.08000183105469,77.93000030517578,74.05000305175781,74.30000305175781,497778.0,75.13457489013672,Down,Up,0,0.0,0.45999908447265625
2023-04-27,74.37999725341797,75.27999877929688,74.02999877929688,74.76000213623047,345880.0,75.92562866210938,Up,Up,1,2.0199966430664062,0.0
2023-04-28,74.91000366210938,76.91999816894531,73.93000030517578,76.77999877929688,328399.0,77.8061752319336,Up,Down,0,0.0,1.1199951171875
2023-05-01,76.66000366210938,76.69000244140625,74.52999877929688,75.66000366210938,215017.0,76.13770294189453,Down,Down,1,4.0,0.0
2023-05-02,75.76000213623047,76.11000061035156,71.41999816894531,71.66000366210938,417820.0,74.73930358886719,Down,Down,1,3.060005187988267,0.0
2023-05-03,71.55999755859375,71.79000091552734,67.94999694824219,68.59999847412111,490523.0,73.10638427734375,Down,Down,1,0.04000091552735796,0.0
2023-05-04,68.16000366210939,69.83999633789061,63.63999938964844,68.55999755859375,412495.0,71.84539031982422,Down,Up,0,0.0,2.779998779296875
2023-05-05,68.69999694824219,71.80999755859375,68.48000335693361,71.33999633789062,330585.0,70.95270538330078,Down,Up,0,0.0,1.82000732421875
2023-05-08,71.3499984741211,73.69000244140625,71.04000091552734,73.16000366210938,290076.0,68.60666656494139,Down,Up,0,0.0,0.5499954223632812
2023-05-09,72.83999633789062,73.77999877929688,71.33999633789062,73.70999908447266,317493.0,67.29916381835939,Down,Down,1,1.1500015258789062,0.0
2023-05-10,73.58000183105469,73.88999938964844,71.80000305175781,72.55999755859375,351506.0,67.04123687744139,Down,Down,1,1.6899948120117188,0.0
2023-05-11,72.7699966430664,73.5,70.62999725341797,70.87000274658203,365892.0,67.82715606689453,Up,Down,0,0.0,0.8300018310546875
2023-05-12,71.41999816894531,71.77999877929688,69.93000030517578,70.04000091552734,275435.0,69.15630340576172,Up,Up,1,1.0699996948242188,0.0
2023-05-15,70.04000091552734,71.69000244140625,69.41000366210939,71.11000061035156,259013.0,67.26481628417969,Down,Down,1,0.25,0.0
